iter	Passed	Remaining
0	1	129
1	2	132
2	4	151
3	5	137
4	6	128
5	7	122
6	9	119
7	10	116
8	11	114
9	13	117
10	14	116
11	15	115
12	17	114
13	17	110
14	18	106
15	19	103
16	21	102
17	22	100
18	22	97
19	23	94
20	24	92
21	25	91
22	26	89
23	27	87
24	28	85
25	29	83
26	30	81
27	31	79
28	31	78
29	32	76
30	34	76
31	35	75
32	37	75
33	38	74
34	39	73
35	40	71
36	41	70
37	42	68
38	42	67
39	43	65
40	44	64
41	44	62
42	45	60
43	46	59
44	47	58
45	48	56
46	49	56
47	50	55
48	51	53
49	52	52
50	53	51
51	54	50
52	55	48
53	56	47
54	56	46
55	57	45
56	58	44
57	59	42
58	60	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	79	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	83	11
88	84	10
89	85	9
90	86	8
91	87	7
92	88	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
